time,lat,lon,depth,station,cast,temp,sal,avg_fix_rate_15N2,stdev_15N2_fix_rate,avg_fix_rate_13C,stdev_13C_fix_rate,below_detection_limit_Nfix,below_detection_limit_Cfix
2023-01-24T13:04:40,28.2611,-124.72454,5,1.0,1.0,18.5773,33.5968,,,3.920929317999318,0.6098227227091766,1.0,
2023-01-25T13:30:00,26.4195,-127.7807,8,,,19.16,33.74,,,2.333351889429619,0.1886999391124863,1.0,
2023-01-26T13:30:00,23.5562,-123.4197,8,,,20.44,34.22,2.4405161400655904,0.4714679331194991,1.791869515915246,0.3331151175492671,,
2023-01-28T11:04:26,19.33118,-138.7137,5,2.0,4.0,23.5311,34.0712,,,4.055127040272819,0.4464830790121006,1.0,
2023-01-28T11:04:26,19.33118,-138.7137,25,2.0,4.0,23.4982,34.0924,,,3.712774916693377,0.4660210241058484,1.0,
2023-01-28T11:04:26,19.33118,-138.7137,100,2.0,4.0,20.458,34.6928,0.0612974517824265,0.0531664713581897,0.4235346473662103,0.1051442533680144,,
2023-01-28T11:04:26,19.33118,-138.71368,45,2.0,4.0,22.8169,34.5378,0.0528388248541001,0.0418154508184004,1.8647209781950391,0.2315059150054822,,
2023-01-28T11:04:26,19.3312,-138.7137,125,2.0,4.0,19.7214,34.7717,,,0.4510004271037557,0.0349696015614119,1.0,
2023-01-28T11:04:26,19.3312,-138.71368,75,2.0,4.0,22.772,34.784,0.0612612272395805,0.0317476605615271,0.6412571385095613,0.1847926448969122,,
2023-01-30T14:09:24,15.97648,-140.00522,5,3.0,1.0,24.2096,33.9096,,,5.836342663375345,0.4309058055192832,1.0,
2023-01-31T14:09:30,12.36152,-140.00366,5,4.0,1.0,24.9444,34.2706,0.0651433255024543,0.0040839165589715,11.591443965275152,2.949592313085467,,
2023-02-01T12:04:34,9.40026,-140.0069,5,5.0,1.0,26.0453,34.5091,,,13.914223202179931,0.8912754615264934,1.0,
2023-02-01T12:04:34,9.40028,-140.00688,25,5.0,1.0,26.0573,34.5103,,,13.298911424343842,1.0360596967541411,1.0,
2023-02-01T12:04:34,9.40028,-140.00688,75,5.0,1.0,12.6422,34.7012,,,0.4921027925493209,0.1109425007313862,1.0,
2023-02-01T12:04:34,9.40028,-140.00688,100,5.0,1.0,11.7456,34.7283,,,,,1.0,1.0
2023-02-01T12:04:34,9.40028,-140.00687,125,5.0,1.0,11.3111,34.7177,,,0.550670943490526,0.5510716153748237,1.0,
2023-02-01T12:04:34,9.4003,-140.00688,45,5.0,1.0,19.4099,34.2782,0.1157882639216464,0.1083758912611197,8.557289622787865,0.9427918525825788,,
2023-02-03T12:30:00,7.4443,-140.0009,8,,,26.98,34.66,,,10.19209174891772,0.6037699205364278,1.0,
2023-02-04T14:07:28,2.62226,-140.00184,5,7.0,1.0,25.6096,34.5581,0.1171156355695597,0.0341739444875918,17.35066797247025,2.930829131299596,,
2023-02-05T11:09:18,0.00012,-140.00026,5,8.0,1.0,25.5133,34.7006,0.146171085730064,0.0880966731046135,20.987566660694583,1.7960269859451494,,
2023-02-05T11:09:18,0.00012,-140.00026,100,8.0,1.0,21.6242,34.8903,,,1.336917504040497,0.0969830670462487,1.0,
2023-02-05T11:09:18,0.00012,-140.00024,45,8.0,1.0,24.1259,34.7549,,,15.578969162162512,0.4198165543997818,1.0,
2023-02-05T11:09:18,0.00012,-140.00024,75,8.0,1.0,23.9894,34.9106,,,4.928791300662184,0.3305008408886976,1.0,
2023-02-05T11:09:18,0.00012,-140.00024,125,8.0,1.0,19.378,35.023,,,0.2719918651955815,0.0619647280761117,1.0,
2023-02-05T11:09:18,0.00013,-140.00024,25,8.0,1.0,25.3831,34.7025,,,16.58856921203752,0.7293437264211317,1.0,
2023-02-07T14:00:00,-0.0003,-139.9966,8,,,25.67,34.72,0.1916465502917692,0.0212941203623008,12.176847104533872,0.3758369521168434,,
2023-02-08T14:01:46,-1.999,-139.99714,5,9.0,1.0,25.3171,35.1067,0.6176089766104459,0.3127036140648762,21.05994200700762,1.478292589045486,,
2023-02-09T11:59:17,-3.99972,-139.9936,5,10.0,1.0,26.3268,35.2794,0.2599934713061064,0.0860511841548694,13.745660495063047,1.295546994526225,,
2023-02-09T11:59:17,-3.99972,-139.9936,75,10.0,1.0,26.3128,35.2782,,,3.292396993958437,0.3638957237637079,1.0,
2023-02-09T11:59:17,-3.99972,-139.9936,125,10.0,1.0,21.6593,35.9898,,,0.3167889293981276,0.0384470838762769,1.0,
2023-02-09T11:59:17,-3.9997,-139.99363,100,10.0,1.0,25.4092,35.5722,,,1.2090743048507744,0.0596128089455549,1.0,
2023-02-09T11:59:17,-3.9997,-139.99362,45,10.0,1.0,26.322,35.2777,0.0997959492806808,0.0493214322632984,8.523825617228747,0.6610390603878316,,
2023-02-09T11:59:17,-3.9997,-139.9936,25,10.0,1.0,26.3358,35.2792,0.1681286544847776,0.0190494598922577,20.75263931220009,1.0883603898805152,,
2023-02-13T14:04:25,5.26895,-144.50878,5,13.0,1.0,26.4649,34.8233,0.0724473710243292,0.0856851637802724,13.377941938839484,0.8019965865541642,,
2023-02-14T15:02:22,8.539,-147.2681,5,16.0,1.0,26.6485,34.4502,,,13.38246998566612,1.0084057627212613,1.0,
2023-02-15T14:32:31,11.654,-149.8693,5,17.0,1.0,25.3316,34.3699,,,9.001460044023004,1.1614436059704285,1.0,
2023-02-16T14:39:43,15.0437,-152.7284,5,19.0,1.0,24.8682,34.4536,,,5.8963868473294285,0.261786048427633,1.0,
