time,lat,lon,depth,hot_cruise,cast,C14_assimilation_light,C14_assimilation_light_stdev
2010-05-18T11:44:00,22.75,-158,45,221,2,0.4986,0.0961
2010-05-18T11:44:00,22.75,-158,75,221,2,0.0797,0.0359
2010-05-18T11:44:00,22.75,-158,100,221,2,0.0337,0.0181
2010-05-18T11:44:00,22.75,-158,125,221,2,0.0751,0.03
2010-06-08T11:20:00,22.75,-158,5,222,2,0.2549,0.1695
2010-06-08T11:20:00,22.75,-158,25,222,2,0.3085,0.0341
2010-06-08T11:20:00,22.75,-158,45,222,2,0.3076,0.1009
2010-06-08T11:20:00,22.75,-158,75,222,2,0.2482,0.0392
2010-06-08T11:20:00,22.75,-158,100,222,2,0.1742,0.036
2010-06-08T11:20:00,22.75,-158,125,222,2,0.0633,0.0020667
2010-07-08T11:25:00,22.75,-158,5,223,2,0.3853,0.1188
2010-07-08T11:25:00,22.75,-158,25,223,2,0.2946,0.0568
2010-07-08T11:25:00,22.75,-158,125,223,2,0.0378,0.0147
2010-08-07T11:20:00,22.75,-158,5,224,2,0.2932,0.0744
2010-08-07T11:20:00,22.75,-158,25,224,2,0.3449,0.0775
2010-08-07T11:20:00,22.75,-158,45,224,2,0.3496,0.095
2010-08-07T11:20:00,22.75,-158,75,224,2,0.2663,0.0138
2010-08-07T11:20:00,22.75,-158,100,224,2,0.1264,0.0521
2010-08-07T11:20:00,22.75,-158,125,224,2,0.026925,0.004217
2010-09-03T11:35:00,22.75,-158,45,225,2,0.3038,0.0996
2010-10-03T10:56:00,22.75,-158,5,226,2,0.4225,0.0711
2010-10-03T10:56:00,22.75,-158,25,226,2,0.3571,0.0864
2010-10-03T10:56:00,22.75,-158,45,226,2,0.2941,0.0958
2010-10-03T10:56:00,22.75,-158,75,226,2,0.2344,0.0323
2010-10-03T10:56:00,22.75,-158,100,226,2,0.1178,0.0533
2010-10-03T10:56:00,22.75,-158,125,226,2,0.0383,0.001175
2011-01-09T14:29:00,22.75,-158,5,228,2,0.2085,0.0673
2011-01-09T14:29:00,22.75,-158,25,228,2,0.3327,0.0194
