time,lat,lon,depth,station,cast,niskin,temp,sal,LminusD_12,stdev_12,LminusD_24,stdev_24,CMAP_sea_water_temp_WOA_clim_tblWOA_Climatology,CMAP_density_WOA_clim_tblWOA_Climatology,CMAP_salinity_WOA_clim_tblWOA_Climatology,CMAP_nitrate_WOA_clim_tblWOA_Climatology,CMAP_phosphate_WOA_clim_tblWOA_Climatology,CMAP_silicate_WOA_clim_tblWOA_Climatology,CMAP_oxygen_WOA_clim_tblWOA_Climatology,CMAP_NO3_tblPisces_NRT,CMAP_PO4_tblPisces_NRT,CMAP_O2_tblPisces_NRT,CMAP_Si_tblPisces_NRT,CMAP_PP_tblPisces_NRT,CMAP_CHL_tblPisces_NRT,CMAP_PHYC_tblPisces_NRT
2017-05-29T14:27:00,25.46,-158.0,15,2,1,22,24.57,35.25,7.78,0.33,4.66,0.48,23.246371905008957,24.15463415781657,35.145381927490234,0.1207608692348003,0.1223821130891641,1.357149084409078,4.980076471964519,5.660785996990417e-07,0.3131382005910832,218.64107004816665,10.698550144820834,0.000458108035673,0.0344323348254041,0.5460378179947083
2017-05-30T13:28:00,28.25,-157.59,15,3,1,8,23.53,35.27,9.3,0.55,6.34,0.18,21.82530275980632,24.575292587280277,35.1899668375651,0.2182366674145062,0.1481010541319847,2.128878156344096,5.146528482437134,1.7365361641e-05,0.2755632763728437,225.7988729477813,11.084923684603126,0.0003008362336913,0.0289944610558312,0.4918741397559375
2017-05-31T13:37:00,32.15,-157.59,15,4,1,12,20.01,34.73,7.05,0.37,6.59,0.42,18.436615308125813,25.098522186279297,34.76840400695801,0.1958563774824142,0.2004471669594446,4.688749631245931,5.453211307525635,0.1639145827287089,0.2562921228819375,241.57624244687497,11.78734672069375,0.0028153071120869,0.0552382293972281,0.7648814897984375
2017-06-01T13:26:00,36.03,-158.0,15,5,1,11,16.22,34.09,10.66,0.63,8.71,0.35,17.34343369801839,24.92830689748128,34.17007319132487,0.1964341787000497,0.1758257697025934,4.113345126310985,5.668263951937358,3.306971301635833,0.4753536880016667,263.1685905455,13.611826221154168,0.0053625337313858,0.1258699602137083,1.17585829397125
2017-06-02T13:29:00,39.45,-157.59,15,6,1,11,12.99,33.01,50.0,0.79,46.25,0.85,13.823939641316732,25.368083953857425,33.68288803100586,1.8681097428003948,0.4816580911477406,3.92500893274943,6.179664770762126,5.06383243203,0.6389436535538124,279.26629638675,14.10674357415,0.0070146996295074,0.1494306912645625,1.440864197909375
2017-06-03T13:29:14,41.24,-157.59,15,7,1,8,11.41,33.01,67.52,0.93,47.15,0.77,12.29209534327189,25.48462963104248,33.48030026753744,3.1171035369237265,0.6791112820307413,4.291326483090718,6.396486123402913,5.9618663191781245,0.7136931903658751,287.49669837962495,14.594481885425,0.0067470290523487,0.166779712773875,1.43765683472125
2017-06-05T13:32:35,37.59,-157.59,15,9,1,13,15.02,33.76,24.23,0.83,18.69,0.51,15.890266418457031,25.126097361246742,33.93896357218424,0.6629830996195475,0.2773985167344411,3.986564795176188,5.87360429763794,4.286779046058751,0.5550759099424375,271.3437938689375,13.956665873531248,0.0062943492375768,0.1338341427035,1.3116209357981248
2017-06-06T14:21:33,36.59,-158.0,15,11,1,12,15.62,33.9,8.64,0.39,7.22,0.47,16.8477684656779,25.0034335454305,34.099196116129555,0.2984453092018763,0.2037913128733635,4.062217076619466,5.724916855494182,3.577859655023125,0.4995234285792083,265.34907086683336,13.707487305002084,0.0058970666820341,0.1206594500690645,1.2370718643070833
2017-06-07T13:33:29,35.59,-158.0,15,12,1,13,16.15,34.04,13.38,0.23,12.17,0.18,17.839098930358887,24.853180249532063,34.24095026652018,0.0944230481982231,0.1478602265318234,4.164473176002502,5.611611048380534,3.0717437267304164,0.4581951238215209,260.37033526104165,13.557858308164583,0.0055342662089968,0.1113820248283208,1.16544925173125
2017-06-09T13:31:52,33.0,-157.99,15,15,1,13,18.44,34.3,9.29,0.26,6.99,0.38,20.1203727722168,24.549757957458496,34.66170883178711,0.2331991096337636,0.1097652086367209,4.343568444252014,5.346794883410136,0.9828224654575046,0.3104700371622499,246.5567245483333,12.645808498058331,0.0040583265508758,0.0719700558111041,0.9477047820889584
2017-06-10T13:29:11,32.0,-157.59,15,17,1,9,19.8,34.9,8.27,0.53,7.96,0.25,20.971115112304688,24.438337961832683,34.84320958455404,0.3297424639264742,0.1152811360855897,3.974174539248149,5.248319705327352,0.0087746966540453,0.2507160827516666,235.45320383708332,11.628709991758331,0.0012963518371785,0.0408695981993,0.62601866076375
2017-06-11T13:31:14,29.34,-158.0,15,18,1,13,22.74,35.26,13.34,0.26,,,22.82589848836263,24.21934254964193,35.18718338012695,0.5952610721190771,0.1179274246096611,2.729400714238485,5.078308502833049,7.20977044346e-05,0.2614563765624166,230.49522781370837,11.405487855262498,0.000313375921299,0.0239890874363541,0.4344053268433334
